1280 17.5890415000 2115811830 615565 7.1504806000 263519502 615566
1296 14.1959935000 2478804203 631027 7.3662706000 273498021 631028
1312 15.2790321000 2416485532 646681 7.6377487000 283727338 646682
1328 15.3334635000 2667229702 662527 7.9056412000 294227654 662528
1344 17.6885400000 2513136605 678565 8.2037570000 304953113 678566
1360 15.6346191000 2864946593 694795 8.4748390000 315978223 694796
1376 19.2491584000 2787741867 711217 8.8339737000 327231734 711218
1392 17.6288964000 3072167102 727831 9.2733644000 338776053 727832
1408 22.6054652000 2840631414 744637 9.5485590000 350541359 744638
1424 18.9932263000 3289179810 761635 9.8392119000 362644522 761636
1440 21.9339029000 3195203560 778825 10.3894496000 374970638 778826
1456 20.9146078000 3516180866 796207 10.6249621000 387608243 796208
1472 25.4322912000 3301754383 813781 11.0803429000 400476551 813782
1488 22.9133807000 3753405379 831547 11.3982985000 413690441 831548
1504 25.6216428000 3640549766 849505 11.8645971000 427139814 849506
1520 25.0974164000 4001169648 867655 12.1885260000 440918852 867656
1536 59.4410651000 3640359127 885997 12.6942098000 455278313 885998
