1280 17.5890415000 7.1504806000
1296 14.1959935000 7.3662706000
1312 15.2790321000 7.6377487000
1328 15.3334635000 7.9056412000
1344 17.6885400000 8.2037570000
1360 15.6346191000 8.4748390000
1376 19.2491584000 8.8339737000
1392 17.6288964000 9.2733644000
1408 22.6054652000 9.5485590000
1424 18.9932263000 9.8392119000
1440 21.9339029000 10.3894496000
1456 20.9146078000 10.6249621000
1472 25.4322912000 11.0803429000
1488 22.9133807000 11.3982985000
1504 25.6216428000 11.8645971000
1520 25.0974164000 12.1885260000
1536 59.4410651000 12.6942098000
1552 26.7038373000 13.0088600000
