1280    2115811830   615565   263519502   615566
1296    2478804203   631027   273498021   631028
1312    2416485532   646681   283727338   646682
1328    2667229702   662527   294227654   662528
1344    2513136605   678565   304953113   678566
1360    2864946593   694795   315978223   694796
1376    2787741867   711217   327231734   711218
1392    3072167102   727831   338776053   727832
1408    2840631414   744637   350541359   744638
1424    3289179810   761635   362644522   761636
1440    3195203560   778825   374970638   778826
1456    3516180866   796207   387608243   796208
1472    3301754383   813781   400476551   813782
1488    3753405379   831547   413690441   831548
1504    3640549766   849505   427139814   849506
1520    4001169648   867655   440918852   867656
1536    3640359127   885997   455278313   885998
