40000000	.2087612000
44000000	.2299362000
48000000	.2508476000
52000000	.2721020000
56000000	.2931110000
60000000	.3131008000
64000000	.3348332000
68000000	.3548148000
72000000	.3839542000
76000000	.3969064000
80000000	.4177010000
84000000	.4385152000
88000000	.4594400000
92000000	.4811318000
96000000	.5032384000
100000000	.5239398000
104000000	.5432776000
108000000	.5667472000
112000000	.5862754000
116000000	.6066828000
120000000	.6958322000
124000000	.6475052000
128000000	.6685634000
132000000	.6894866000
136000000	.7110876000
140000000	.7335448000
144000000	.7536944000
148000000	.7762998000
152000000	.7961684000
156000000	.8178540000
160000000	.8381978000
164000000	.8601558000
168000000	.8795922000
172000000	.8995928000
176000000	.9249424000
180000000	.9450494000
184000000	.9670082000
188000000	.9815254000
192000000	1.0028380000
196000000	1.0257098000
200000000	1.0449492000
204000000	1.0682236000
208000000	1.0856388000
212000000	1.1060186000
216000000	1.1314050000
220000000	1.1483544000
224000000	1.1718106000
228000000	1.1910746000
232000000	1.2215908000
236000000	1.2362900000
240000000	1.2663932000
244000000	1.2778406000
248000000	1.2989678000
252000000	1.3182982000
256000000	1.3365178000
260000000	1.3609436000
264000000	1.3860958000
268000000	1.4073524000
272000000	1.4268902000
276000000	1.4417440000
280000000	1.4655356000
284000000	1.4845446000
288000000	1.5101438000
292000000	1.5281126000
296000000	1.5487724000
300000000	1.5685452000
304000000	1.6012816000
308000000	1.6102760000
312000000	1.6336042000
316000000	1.6640936000
320000000	1.6713940000
324000000	1.6942134000
328000000	1.7420992000
332000000	1.7434470000
336000000	1.7529896000
340000000	1.7759812000
344000000	1.8005178000
348000000	1.4527266000
352000000	1.8429886000
356000000	1.8595054000
360000000	1.8841842000
364000000	1.9049510000
368000000	1.9516784000
372000000	1.5535968000
376000000	1.9708792000
380000000	1.9923730000
384000000	2.0073548000
388000000	2.0276750000
392000000	2.0852380000
396000000	1.6550994000
400000000	1.6707212000
404000000	1.6872028000
408000000	1.7071700000
412000000	1.7219060000
416000000	2.1770574000
420000000	2.2000432000
424000000	2.2196320000
428000000	2.2506628000
432000000	1.8110584000
436000000	2.2796618000
440000000	2.3064992000
444000000	2.3365794000
448000000	2.3423388000
452000000	2.3610850000
456000000	2.4017640000
460000000	2.4101716000
464000000	2.4267150000
468000000	2.4487516000
472000000	2.4690870000
476000000	2.4853146000
480000000	2.5142570000
484000000	2.5306164000
488000000	2.5522668000
492000000	2.5725028000
496000000	2.5995002000
500000000	2.6141200000
504000000	2.6420306000
508000000	2.6554092000
512000000	2.6810350000
516000000	2.6992384000
520000000	2.7237468000
524000000	2.7451712000
528000000	2.7601774000
532000000	2.7822064000
536000000	2.8026924000
540000000	2.8207268000
544000000	2.8520754000
548000000	2.8722068000
552000000	2.8926194000
556000000	2.9139066000
560000000	2.9315110000
564000000	2.9555844000
568000000	2.9742152000
572000000	2.9917850000
576000000	3.0093142000
580000000	3.0352184000
584000000	3.0511112000
588000000	3.1082662000
