40000000	.0316828000	2.7260216900
84500000	.0681962000	2.7472703757
129000000	.1054848000	2.6586749939
173500000	.1394828000	2.6976401391
218000000	.1777298000	2.6483763555
262500000	.2112922000	2.7060506729
307000000	.2460380000	2.7392606020
351500000	.2886360000	2.6468562480
396000000	.3178186000	2.7199811464
440500000	.3505016000	2.7275116575
485000000	.3855464000	2.7633083851
529500000	.4244630000	2.7523967931
574000000	.4578058000	2.7488983320
618500000	.4919470000	2.7320235716
663000000	.5270098000	2.7414271992
707500000	.5643486000	2.7199291359
752000000	.5915012000	2.7681056268
796500000	.6362306000	2.7296983200
841000000	.6654902000	2.7669928122
885500000	.7075110000	2.7363085520
930000000	.7330560000	2.7492164309
