515	.4225444000	.1274318000	3.3158473787
579	.6012422000	.1654992000	3.6329009445
643	.8225836000	.2295192000	3.5839424327
707	1.0969848000	.3261266000	3.3636777864
771	1.4171124000	.3788816000	3.7402513080
835	1.8282444000	.4934572000	3.7049705627
899	2.2885246000	.6255350000	3.6585076774
963	2.8178094000	.7208298000	3.9091189071
1027	3.4528044000	.9011098000	3.8317243914
1091	4.1296758000	1.0969128000	3.7648168569
1155	4.9039628000	1.2484586000	3.9280139525
1219	5.7591008000	1.4624290000	3.9380378808
1283	6.7114720000	1.7278988000	3.8841811800
1347	7.7919114000	1.9916820000	3.9122266506
1411	8.9668450000	2.2678416000	3.9539115077
1475	10.2431514000	2.6044160000	3.9329935770
1539	11.6375550000	2.9391394000	3.9595110732
1603	13.1462730000	3.3227006000	3.9565024305
1667	14.8068718000	3.7186812000	3.9817534775
1731	16.5517648000	4.1654946000	3.9735412932
1795	18.5351960000	4.6920780000	3.9503171089
1859	20.6828354000	5.2313206000	3.9536547234
1923	22.8327496000	5.7280076000	3.9861590965
1987	25.1221412000	6.4037108000	3.9230599233
2051	27.7462406000	7.0011520000	3.9630964446
2115	30.4458234000	7.9131888000	3.8474784526
2179	33.5558640000	8.3783882000	4.0050500405
2243	36.3125182000	9.2195966000	3.9386233232
2307	39.5147006000	9.9226864000	3.9822583327
2371	42.7459198000	10.7786054000	3.9658117366
2435	46.3639468000	11.7628078000	3.9415713993
2499	50.1663980000	12.5658130000	3.9922922615
2563	54.3065644000	13.7756042000	3.9422274051
