1536	11.7120264000	3.0298418000	3.8655570729
1600	13.2088928000	3.4535408000	3.8247391778
1664	14.7470706000	3.7505880000	3.9319356324
1728	16.5404746000	4.1947836000	3.9431055752
1792	18.4159982000	4.7187762000	3.9027064262
1856	20.5641480000	5.2378026000	3.9261021406
1920	22.7298784000	5.7563100000	3.9486890733
1984	25.0005504000	6.4263950000	3.8902915864
2048	27.5062598000	6.9952058000	3.9321587650
2112	30.2438608000	7.7215130000	3.9168309112
2176	33.5666402000	8.7842744000	3.8212194509
2240	36.6579014000	9.4573304000	3.8761362720
2304	39.8344406000	10.4224260000	3.8219931328
2368	43.6179258000	11.3308148000	3.8494959603
2432	47.0257772000	12.2041020000	3.8532763164
2496	50.9282586000	13.3222448000	3.8227985872
2560	54.9491622000	14.3311112000	3.8342569137
2624	59.1298614000	15.4638440000	3.8237492178
2688	63.6482024000	16.6367080000	3.8257690403
2752	68.5590114000	18.0084480000	3.8070471925
2816	73.4735228000	19.4011812000	3.7870644082
2880	78.6795236000	20.9607506000	3.7536596423
2944	84.9418444000	21.9441032000	3.8708277857
3008	89.3890260000	23.6967274000	3.7722097440
3072	96.3473632000	26.7155710000	3.6064122754
3136	103.2364132000	27.4356886000	3.7628511791
3200	107.5174962000	28.2628384000	3.8042002249
3264	114.2378950000	29.8719720000	3.8242502035
3328	120.5475380000	30.5832960000	3.9416136834
3392	127.4112174000	33.6327842000	3.7883041927
3456	137.1510540000	37.2782244000	3.6791198134
3520	140.8272018000	35.7095772000	3.9436815790
3584	148.9727968000	38.0013762000	3.9201947849
